link,name,party,phonenumber,region,twitter
https://members.parliament.uk/member/103/contact,Sir Paul Beresford,Conservative,020 7219 5018,Newcastle-under-Lyme,
https://members.parliament.uk/member/199/contact,Ms Karen Buck,Labour,020 7219 3000,Exeter,https://twitter.com/KarenPBuckMP
https://members.parliament.uk/member/4821/contact,Felicity Buchan,Conservative,0207 219 6732,Exeter,
https://members.parliament.uk/member/1446/contact,Chris Bryant,Labour,020 7219 8315,Exeter,
https://members.parliament.uk/member/3958/contact,Fiona Bruce,Conservative,020 7219 7042,Exeter,
https://members.parliament.uk/member/4801/contact,Anthony Browne,Conservative,0207 219 8089,Exeter,https://twitter.com/ab4scambs
https://members.parliament.uk/member/523/contact,Mr Nicholas Brown,Labour,020 7219 6814,Exeter,
https://members.parliament.uk/member/1583/contact,Ms Lyn Brown,Labour,020 7219 6999,Exeter,https://twitter.com/lynbrownmp
https://members.parliament.uk/member/4470/contact,Alan Brown,Scottish National Party,020 7219 6093,Exeter,https://twitter.com/alanbrownsnp
https://members.parliament.uk/member/1530/contact,James Brokenshire,Conservative,020 7219 8400,Exeter,https://twitter.com/JBrokenshire
https://members.parliament.uk/member/4417/contact,Deidre Brock,Scottish National Party,020 7219 6647,Exeter,https://twitter.com/deidrebrock
https://members.parliament.uk/member/4838/contact,Sara Britcliffe,Conservative,0207 219 3000,Exeter,
https://members.parliament.uk/member/4792/contact,Paul Bristow,Conservative,020 7219 3690,Exeter,https://twitter.com/paulbristow79
https://members.parliament.uk/member/4067/contact,Steve Brine,Conservative,020 7219 7189,Exeter,
https://members.parliament.uk/member/4133/contact,Andrew Bridgen,Conservative,020 7219 7238,Exeter,https://twitter.com/ABridgen
https://members.parliament.uk/member/4643/contact,Jack Brereton,Conservative,0207 219 4460,Exeter,
https://members.parliament.uk/member/1400/contact,Kevin Brennan,Labour,020 7219 8156,Exeter,https://twitter.com/KevinBrennanMP
https://members.parliament.uk/member/4475/contact,Suella Braverman,Conservative,020 7219 8191,Exeter,https://twitter.com/suellabraverman
https://members.parliament.uk/member/4865/contact,Miriam Cates,Conservative,0207 219 3000,South Swindon,
https://members.parliament.uk/member/288/contact,Sir William Cash,Conservative,020 7219 6330,South Swindon,https://twitter.com/BillCashMP
https://members.parliament.uk/member/4519/contact,James Cartlidge,Conservative,020 7219 4875,South Swindon,https://twitter.com/jc4southsuffolk
https://members.parliament.uk/member/4791/contact,Andy Carter,Conservative,0207 219 3000,South Swindon,
https://members.parliament.uk/member/1442/contact,Mr Alistair Carmichael,Liberal Democrat,020 7219 8181,South Swindon,https://twitter.com/amcarmichaelMP
https://members.parliament.uk/member/4651/contact,Dan Carden,Labour,0207 219 2673,South Swindon,https://twitter.com/DanCardenMP
https://members.parliament.uk/member/1409/contact,Mr Gregory Campbell,Democratic Unionist Party,020 7219 8495,South Swindon,
https://members.parliament.uk/member/529/contact,Sir Alan Campbell,Labour,020 7219 6619,South Swindon,https://twitter.com/alancampbellmp
https://members.parliament.uk/member/4412/contact,Dr Lisa Cameron,Scottish National Party,020 7219 6855,South Swindon,https://twitter.com/DrLisaCameronMP
https://members.parliament.uk/member/4770/contact,Amy Callaghan,Scottish National Party,0207 219 3000,South Swindon,
https://members.parliament.uk/member/4086/contact,Alun Cairns,Conservative,020 7219 7175,South Swindon,https://twitter.com/AlunCairns
https://members.parliament.uk/member/4389/contact,Ruth Cadbury,Labour,020 7219 8590,South Swindon,https://twitter.com/ruthcadbury
https://members.parliament.uk/member/1171/contact,Liam Byrne,Labour,020 7219 6953,South Swindon,https://twitter.com/LiamByrneMP
https://members.parliament.uk/member/4831/contact,Ian Byrne,Labour,0207 219 3000,South Swindon,
https://members.parliament.uk/member/4745/contact,Rob Butler,Conservative,0207 219 3000,South Swindon,
https://members.parliament.uk/member/1489/contact,Dawn Butler,Labour,020 7219 8591,South Swindon,https://twitter.com/dawnbutlerbrent
https://members.parliament.uk/member/4775/contact,Elliot Colburn,Conservative,0207 219 3000,Lewes,https://twitter.com/ElliotColburn
https://members.parliament.uk/member/4098/contact,Dr Thérèse Coffey,Conservative,020 7219 7164,Lewes,https://twitter.com/theresecoffey
https://members.parliament.uk/member/249/contact,Sir Geoffrey Clifton-Brown,Conservative,020 7219 5147,Lewes,
https://members.parliament.uk/member/4366/contact,James Cleverly,Conservative,020 7219 8593,Lewes,https://twitter.com/jamescleverly
https://members.parliament.uk/member/4835/contact,Chris Clarkson,Conservative,0207 219 3000,Lewes,
https://members.parliament.uk/member/4756/contact,Brendan Clarke-Smith,Conservative,0207 219 3000,Lewes,https://twitter.com/Bren4Bassetlaw
https://members.parliament.uk/member/4819/contact,Theo Clarke,Conservative,01785 245444,Lewes,
https://members.parliament.uk/member/4655/contact,Mr Simon Clarke,Conservative,0207 219 2674,Lewes,https://twitter.com/SimonClarke84
https://members.parliament.uk/member/1578/contact,Greg Clark,Conservative,020 7219 6977,Lewes,https://twitter.com/gregclarkmp
https://members.parliament.uk/member/4822/contact,Feryal Clark,Labour,0207 219 3000,Lewes,https://twitter.com/FeryalClark
https://members.parliament.uk/member/4380/contact,Jo Churchill,Conservative,020 7219 8487,Lewes,https://twitter.com/jochurchill4
https://members.parliament.uk/member/242/contact,Sir Christopher Chope,Conservative,020 7219 5808,Lewes,
https://members.parliament.uk/member/3987/contact,Rehman Chishti,Conservative,020 7219 7075,Lewes,https://twitter.com/Rehman_Chishti
https://members.parliament.uk/member/4419/contact,Joanna Cherry,Scottish National Party,020 7219 6646,Lewes,https://twitter.com/joannaccherry
https://members.parliament.uk/member/4610/contact,Bambos Charalambous,Labour,0207 219 3460,Lewes,https://twitter.com/BambosMP
https://members.parliament.uk/member/4402/contact,Douglas Chapman,Scottish National Party,020 7219 6888,Lewes,https://twitter.com/dougchapmansnp
https://members.parliament.uk/member/4122/contact,Alex Cunningham,Labour,020 7219 7157,Folkestone and Hythe,https://twitter.com/ACunninghamMP
https://members.parliament.uk/member/4391/contact,Judith Cummins,Labour,020 7219 8607,Folkestone and Hythe,https://twitter.com/judithcummins
https://members.parliament.uk/member/181/contact,John Cryer,Labour,020 7219 7100,Folkestone and Hythe,
https://members.parliament.uk/member/1406/contact,Jon Cruddas,Labour,020 7219 8161,Folkestone and Hythe,https://twitter.com/JonCruddas_1
https://members.parliament.uk/member/3950/contact,Tracey Crouch,Conservative,020 7219 7203,Folkestone and Hythe,https://twitter.com/tracey_crouch
https://members.parliament.uk/member/4859/contact,Virginia Crosbie,Conservative,0207 219 3000,Folkestone and Hythe,
https://members.parliament.uk/member/4088/contact,Stella Creasy,Labour (Co-op),020 7219 6980,Folkestone and Hythe,https://twitter.com/stellacreasy
https://members.parliament.uk/member/4469/contact,Angela Crawley,Scottish National Party,020 7219 6044,Folkestone and Hythe,https://twitter.com/angelacrawley30
https://members.parliament.uk/member/1554/contact,Stephen Crabb,Conservative,020 7219 0907,Folkestone and Hythe,https://twitter.com/SCrabbMP
https://members.parliament.uk/member/4368/contact,Neil Coyle,Labour,020 7232 4640,Folkestone and Hythe,https://twitter.com/coyleneil
https://members.parliament.uk/member/1508/contact,Sir Geoffrey Cox,Conservative,020 7219 4719,Folkestone and Hythe,https://twitter.com/Geoffrey_Cox
https://members.parliament.uk/member/4465/contact,Ronnie Cowan,Scottish National Party,020 7219 6122,Folkestone and Hythe,https://twitter.com/ronniecowan
https://members.parliament.uk/member/4806/contact,Claire Coutinho,Conservative,0207 219 5972,Folkestone and Hythe,
https://members.parliament.uk/member/4589/contact,Robert Courts,Conservative,0207 219 5638,Folkestone and Hythe,https://twitter.com/robertcourts
https://members.parliament.uk/member/4439/contact,Alberto Costa,Conservative,020 7219 4936,Folkestone and Hythe,https://twitter.com/albertocostamp
https://members.parliament.uk/member/185/contact,Jeremy Corbyn,Independent,020 7219 3545,Folkestone and Hythe,https://twitter.com/jeremycorbyn
https://members.parliament.uk/member/420/contact,Yvette Cooper,Labour,020 7219 5080,Folkestone and Hythe,https://twitter.com/YvetteCooperMP
https://members.parliament.uk/member/1425/contact,Mr Jonathan Djanogly,Conservative,020 7219 2367,Lewisham East,https://twitter.com/JDjanogly
https://members.parliament.uk/member/4816/contact,Miss Sarah Dines,Conservative,0207 219 3000,Lewisham East,
https://members.parliament.uk/member/4008/contact,Caroline Dinenage,Conservative,020 7219 7078; 020 7219 0198,Lewisham East,https://twitter.com/cj_dinenage
https://members.parliament.uk/member/4638/contact,Mr Tanmanjeet Singh Dhesi,Labour,0207 219 1946,Lewisham East,https://twitter.com/TanDhesi
https://members.parliament.uk/member/4433/contact,Thangam Debbonaire,Labour,0207 219 0974,Lewisham East,https://twitter.com/thangammp
https://members.parliament.uk/member/4676/contact,Marsha De Cordova,Labour,0207 924 1973,Lewisham East,https://twitter.com/Marshadecordova
https://members.parliament.uk/member/4488/contact,Martyn Day,Scottish National Party,020 7219 5930,Lewisham East,https://twitter.com/MartynDaySNP
https://members.parliament.uk/member/4737/contact,Dehenna Davison,Conservative,0207 219 3000,Lewisham East,https://twitter.com/DehennaDavison
https://members.parliament.uk/member/373/contact,Mr David Davis,Conservative,020 7219 5900,Lewisham East,
https://members.parliament.uk/member/4849/contact,Alex Davies-Jones,Labour,0207 219 4981,Lewisham East,https://twitter.com/AlexDaviesJones
https://members.parliament.uk/member/1565/contact,Philip Davies,Conservative,020 7219 8264,Lewisham East,https://twitter.com/philipdaviesuk
https://members.parliament.uk/member/4513/contact,Mims Davies,Conservative,020 7219 6853,Lewisham East,https://twitter.com/mimsdavies
https://members.parliament.uk/member/4476/contact,Dr James Davies,Conservative,020 7219 3000,Lewisham East,
https://members.parliament.uk/member/155/contact,Geraint Davies,Labour (Co-op),020 7219 7166,Lewisham East,https://twitter.com/GeraintDaviesMP
https://members.parliament.uk/member/4850/contact,Gareth Davies,Conservative,0207 219 3443,Lewisham East,https://twitter.com/garethdavies_mp
https://members.parliament.uk/member/1545/contact,David T C Davies,Conservative,020 7219 3000,Lewisham East,https://twitter.com/davidtcdavies
https://members.parliament.uk/member/152/contact,Sir Iain Duncan Smith,Conservative,020 7219 2667/2664,Aldershot,
https://members.parliament.uk/member/4606/contact,David Duguid,Conservative,0207 219 2819,Aldershot,https://twitter.com/david_duguid
https://members.parliament.uk/member/4616/contact,Rosie Duffield,Labour,0207 219 1183,Aldershot,https://twitter.com/RosieDuffield1
https://members.parliament.uk/member/1559/contact,James Duddridge,Conservative,james@jamesduddridge.com,Aldershot,https://twitter.com/JamesDuddridge
https://members.parliament.uk/member/4459/contact,Mrs Flick Drummond,Conservative,020 7219 3000,Aldershot,
https://members.parliament.uk/member/3913/contact,Jack Dromey,Labour,020 7219 0903,Aldershot,https://twitter.com/JackDromeyMP
https://members.parliament.uk/member/4132/contact,Richard Drax,Conservative,020 7219 7051,Aldershot,
https://members.parliament.uk/member/4065/contact,Jackie Doyle-Price,Conservative,020 7219 7171,Aldershot,https://twitter.com/JACKIEDP
https://members.parliament.uk/member/4441/contact,Oliver Dowden,Conservative,020 7219 3415,Aldershot,
https://members.parliament.uk/member/4397/contact,Peter Dowd,Labour,020 7219 8671,Aldershot,https://twitter.com/peter_dowd
https://members.parliament.uk/member/4264/contact,Stephen Doughty,Labour (Co-op),020 7219 5348,Aldershot,https://twitter.com/SDoughtyMP
https://members.parliament.uk/member/4452/contact,Steve Double,Conservative,020 7219 4408,Aldershot,https://twitter.com/stevedouble
https://members.parliament.uk/member/1481/contact,Ms Nadine Dorries,Conservative,020 7219 5928,Aldershot,https://twitter.com/NadineDorries/with_replies
https://members.parliament.uk/member/4740/contact,Allan Dorans,Scottish National Party,020 7219 5965,Aldershot,
https://members.parliament.uk/member/4736/contact,Dave Doogan,Scottish National Party,0207 219 3000,Aldershot,https://twitter.com/davedoogansnp
https://members.parliament.uk/member/4530/contact,Michelle Donelan,Conservative,020 7219 4451,Aldershot,https://twitter.com/michelledonelan
https://members.parliament.uk/member/1198/contact,Sir David Evennett,Conservative,020 7219 8403,Ludlow,https://twitter.com/DavidEvennett
https://members.parliament.uk/member/474/contact,Mr Nigel Evans,Conservative,020 7219 6939,Ludlow,
https://members.parliament.uk/member/4781/contact,Dr Luke Evans,Conservative,0207 219 3000,Ludlow,https://twitter.com/drlukeevans
https://members.parliament.uk/member/4040/contact,Chris Evans,Labour (Co-op),020 7219 5025,Ludlow,
https://members.parliament.uk/member/3934/contact,George Eustice,Conservative,020 7219 7032,Ludlow,
https://members.parliament.uk/member/4061/contact,Bill Esterson,Labour,020 7219 0463,Ludlow,https://twitter.com/Bill_Esterson
https://members.parliament.uk/member/4870/contact,Florence Eshalomi,Labour (Co-op),0207 219 6552,Ludlow,
https://members.parliament.uk/member/4795/contact,Mrs Natalie Elphicke,Conservative,0207 219 7052,Ludlow,
https://members.parliament.uk/member/4572/contact,Chris Elmore,Labour,0207 219 3000,Ludlow,https://twitter.com/cpjelmore
https://members.parliament.uk/member/1487/contact,Mr Tobias Ellwood,Conservative,020 7219 4349,Ludlow,https://twitter.com/Tobias_Ellwood
https://members.parliament.uk/member/4116/contact,Michael Ellis,Conservative,020 7219 7220,Ludlow,https://twitter.com/Michael_Ellis1
https://members.parliament.uk/member/4127/contact,Julie Elliott,Labour,020 7219 7165,Ludlow,https://twitter.com/JulieElliottMP
https://members.parliament.uk/member/165/contact,Clive Efford,Labour,020 7219 4057,Ludlow,https://twitter.com/CliveEfford
https://members.parliament.uk/member/4808/contact,Ruth Edwards,Conservative,0207 219 3000,Ludlow,
https://members.parliament.uk/member/3943/contact,Jonathan Edwards,Independent,020 7219 3000,Ludlow,https://twitter.com/JonathanPlaid
https://members.parliament.uk/member/4807/contact,Mark Eastwood,Conservative,0207 219 3000,Ludlow,https://twitter.com/mark4dewsbury
https://members.parliament.uk/member/4753/contact,Mary Kelly Foy,Labour,0207 219 3000,Milton Keynes North,
https://members.parliament.uk/member/4491/contact,Vicky Foxcroft,Labour,020 7219 5934,Milton Keynes North,https://twitter.com/vickyfoxcroft
https://members.parliament.uk/member/223/contact,Dr Liam Fox,Conservative,020 7219 4198,Milton Keynes North,https://twitter.com/LiamFox
https://members.parliament.uk/member/4034/contact,Yvonne Fovargue,Labour,020 7219 3000,Milton Keynes North,https://twitter.com/Y_FovargueMP
https://members.parliament.uk/member/4451/contact,Kevin Foster,Conservative,020 7219 4711,Milton Keynes North,https://twitter.com/kevin_j_foster
https://members.parliament.uk/member/4674/contact,Vicky Ford,Conservative,0207 219 0138,Milton Keynes North,https://twitter.com/vickyford
https://members.parliament.uk/member/4735/contact,Stephen Flynn,Scottish National Party,0207 219 5151,Milton Keynes North,
https://members.parliament.uk/member/4832/contact,Nick Fletcher,Conservative,0207 219 5192,Milton Keynes North,https://twitter.com/NickFletcherMP
https://members.parliament.uk/member/4774/contact,Mark Fletcher,Conservative,020 7219 3662,Milton Keynes North,
https://members.parliament.uk/member/4834/contact,Katherine Fletcher,Conservative,0207 219 3000,Milton Keynes North,
https://members.parliament.uk/member/4378/contact,Colleen Fletcher,Labour,020 7219 8036,Milton Keynes North,
https://members.parliament.uk/member/4823/contact,John Finucane,Sinn Féin,0207 219 3000,Milton Keynes North,
https://members.parliament.uk/member/4386/contact,Margaret Ferrier,Independent,020 7219 3272,Milton Keynes North,https://twitter.com/MargaretFerrier
https://members.parliament.uk/member/4440/contact,Marion Fellows,Scottish National Party,020 7219 5784,Milton Keynes North,https://twitter.com/marionfellows
https://members.parliament.uk/member/4744/contact,Simon Fell,Conservative,0207 219 3000,Milton Keynes North,
https://members.parliament.uk/member/4856/contact,Stephen Farry,Alliance,0207 219 3000,Milton Keynes North,
https://members.parliament.uk/member/4126/contact,Mary Glindon,Labour,020 7219 3000,Rayleigh and Wickford,
https://members.parliament.uk/member/4051/contact,John Glen,Conservative,020 7219 2675,Rayleigh and Wickford,https://twitter.com/JohnGlenUK
https://members.parliament.uk/member/4633/contact,Paul Girvan,Democratic Unionist Party,0207 219 3987,Rayleigh and Wickford,https://twitter.com/PaulGirvanMP
https://members.parliament.uk/member/4603/contact,Preet Kaur Gill,Labour (Co-op),0207 219 2879,Rayleigh and Wickford,https://twitter.com/PreetKGillMP
https://members.parliament.uk/member/1416/contact,Michelle Gildernew,Sinn Féin,020 7219 1759,Rayleigh and Wickford,https://twitter.com/gildernewm
https://members.parliament.uk/member/4817/contact,Jo Gideon,Conservative,020 7219 8131,Rayleigh and Wickford,
https://members.parliament.uk/member/4754/contact,Peter Gibson,Conservative,0207 219 3000,Rayleigh and Wickford,
https://members.parliament.uk/member/4435/contact,Patricia Gibson,Scottish National Party,020 7219 5748,Rayleigh and Wickford,https://twitter.com/PGibsonSNP
https://members.parliament.uk/member/111/contact,Nick Gibb,Conservative,020 7219 6374,Rayleigh and Wickford,https://twitter.com/nickgibbuk
https://members.parliament.uk/member/4460/contact,Ms Nusrat Ghani,Conservative,020 7219 4619,Rayleigh and Wickford,https://twitter.com/nus_ghani
https://members.parliament.uk/member/4074/contact,Mark Garnier,Conservative,020 7219 7198,Rayleigh and Wickford,https://twitter.com/Mark4WyreForest
https://members.parliament.uk/member/146/contact,Barry Gardiner,Labour,020 7219 4046,Rayleigh and Wickford,https://twitter.com/BarryGardiner
https://members.parliament.uk/member/87/contact,Sir Roger Gale,Conservative,020 7219 4087,Rayleigh and Wickford,
https://members.parliament.uk/member/4446/contact,Mr Marcus Fysh,Conservative,020 7219 4527,Rayleigh and Wickford,https://twitter.com/marcusfysh
https://members.parliament.uk/member/4571/contact,Gill Furniss,Labour,0207 219 0364,Rayleigh and Wickford,https://twitter.com/gillfurnissmp
https://members.parliament.uk/member/3912/contact,Richard Fuller,Conservative,0207 219 8602,Rayleigh and Wickford,
https://members.parliament.uk/member/4004/contact,Mike Freer,Conservative,020 7219 7071,Rayleigh and Wickford,
https://members.parliament.uk/member/1506/contact,Andrew Gwynne,Labour,020 7219 4708,Scarborough and Whitby,https://twitter.com/GwynneMP
https://members.parliament.uk/member/4814/contact,Jonathan Gullis,Conservative,0207 219 3000,Scarborough and Whitby,https://twitter.com/jegullis
https://members.parliament.uk/member/4843/contact,James Grundy,Conservative,0207 219 3000,Scarborough and Whitby,
https://members.parliament.uk/member/4773/contact,Kate Griffiths,Conservative,0207 219 3000,Scarborough and Whitby,
https://members.parliament.uk/member/1541/contact,Nia Griffith,Labour,020 7219 4903,Scarborough and Whitby,https://twitter.com/NiaGriffithMP
https://members.parliament.uk/member/4874/contact,Andrew Griffith,Conservative,0207 219 4557,Scarborough and Whitby,https://twitter.com/griffitha
https://members.parliament.uk/member/4400/contact,Margaret Greenwood,Labour,020 7219 4608,Scarborough and Whitby,https://twitter.com/mgreenwoodww
https://members.parliament.uk/member/4029/contact,Lilian Greenwood,Labour,020 7219 7122,Scarborough and Whitby,https://twitter.com/LilianGreenwood
https://members.parliament.uk/member/4918/contact,Sarah Green,Liberal Democrat,0207 219 3000,Scarborough and Whitby,
https://members.parliament.uk/member/4120/contact,Kate Green,Labour,020 7219 7162,Scarborough and Whitby,https://twitter.com/KateGreenSU
https://members.parliament.uk/member/76/contact,Damian Green,Conservative,020 7219 3911,Scarborough and Whitby,https://twitter.com/damiangreenmp
https://members.parliament.uk/member/4398/contact,Chris Green,Conservative,020 7219 8685,Scarborough and Whitby,https://twitter.com/CGreenUK
https://members.parliament.uk/member/1413/contact,Chris Grayling,Conservative,020 7219 8194,Scarborough and Whitby,
https://members.parliament.uk/member/261/contact,James Gray,Conservative,020 7219 6237,Scarborough and Whitby,https://twitter.com/@JGray
https://members.parliament.uk/member/4466/contact,Peter Grant,Scottish National Party,020 7219 6349,Scarborough and Whitby,https://twitter.com/petergrantmp
https://members.parliament.uk/member/4018/contact,Mrs Helen Grant,Conservative,020 7219 7107,Scarborough and Whitby,https://twitter.com/HelenGrantMP
https://members.parliament.uk/member/350/contact,Sir John Hayes,Conservative,020 7219 1389,"Sheffield, Heeley",
https://members.parliament.uk/member/4636/contact,Chris Hazzard,Sinn Féin,0207 219 4004,"Sheffield, Heeley",https://twitter.com/ChrisHazzardSF
https://members.parliament.uk/member/4510/contact,Helen Hayes,Labour,020 7219 6971,"Sheffield, Heeley",https://twitter.com/helenhayes_
https://members.parliament.uk/member/3944/contact,Simon Hart,Conservative,020 7219 3000,"Sheffield, Heeley",https://twitter.com/Simonhartmp
https://members.parliament.uk/member/4842/contact,Sally-Ann Hart,Conservative,0207 219 5726,"Sheffield, Heeley",https://twitter.com/sallyann1066
https://members.parliament.uk/member/4593/contact,Trudy Harrison,Conservative,0207 219 4002,"Sheffield, Heeley",
https://members.parliament.uk/member/3948/contact,Rebecca Harris,Conservative,020 7219 7206,"Sheffield, Heeley",
https://members.parliament.uk/member/4480/contact,Carolyn Harris,Labour,020 7219 4316,"Sheffield, Heeley",https://twitter.com/carolynharris24
https://members.parliament.uk/member/1520/contact,Mr Mark Harper,Conservative,020 7219 5056,"Sheffield, Heeley",https://twitter.com/Mark_J_Harper
